t,CISHnRNA3_Obs,CISHRNA_Obs,SOCS3RNA_Obs
0,0.000464764195711279,0.000864059514722187,0.00543884970191908
7,NaN,NaN,0.00534177874048868
15,NaN,0.000847780187152854,0.00537304329776418
20,0.00050383628758217,NaN,NaN
25,NaN,NaN,0.00509210961254064
30,NaN,NaN,0.0053138538901017
35,0.00050055626368031,0.000895232541750194,NaN
40,NaN,NaN,0.0053801625555786
50,NaN,0.00086547447969006,NaN
55,0.000508063139931873,NaN,0.00532523377388037
70,NaN,0.000846695266254615,0.00530146888659235
80,0.000500103385140497,NaN,NaN
85,NaN,NaN,0.00548008523312265
95,NaN,0.000917256701679602,NaN
100,0.000484687050491667,0.000881606065650416,NaN
150,0.000458959467951888,0.000890175415215317,NaN
200,0.000469258992395813,0.000909905353790956,NaN
250,0.000462494738904241,0.000900142173035885,NaN
300,0.000463147345981425,0.000887729466298015,NaN
