t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,4787.23757978961,11145.0198861018,-2117.76092347099,1740.68168393814
2.5,906.786340822236,NaN,NaN,NaN
3,NaN,NaN,415.526902403339,NaN
3.5,NaN,-462.155954535491,NaN,1114.59243958144
5.5,-1887.35369017797,NaN,NaN,NaN
6.5,NaN,4328.02511576438,-153.941290586684,NaN
7,NaN,NaN,NaN,4160.68732405611
8.5,1391.11202842491,NaN,NaN,NaN
10,3783.00619907768,1515.58178428831,2168.13053946911,499.192875594178
15,47550.4731507083,2388.86258953162,47251.605750025,5041.31107311448
20,19200.2595105279,14130.5712485709,23092.102936661,5919.72890691136
25,13247.6537456476,18874.8224582105,11936.1005215735,13059.056360908
30,4231.12229101065,NaN,NaN,16407.3354800386
35,6240.23450645244,21390.042311724,3582.68564409365,NaN
40,NaN,12341.6833673634,7143.35640916892,17042.6255520229
45,-1833.78701902946,NaN,NaN,15174.8547224218
50,NaN,17340.8335498287,4781.35565187533,NaN
55,NaN,16536.4670186841,NaN,18818.3436426909
60,NaN,NaN,5041.91382003981,NaN
70,NaN,22923.0365986495,NaN,23953.3875714238
