t,epo_level,p12EpoRpJAK2_Obs
21,2.5e-09,0.0627907599536006
21,2.5e-09,0.0636778588380503
21,2.5e-09,0.076081847162728
21,2.5e-08,0.162392868622743
21,2.5e-08,0.176736656517945
21,2.5e-08,0.220387104893405
21,1.25e-07,0.104837151294118
21,1.25e-07,0.12950622429312
21,1.25e-07,0.165501594592636
21,2.5e-07,0.0867671986254045
21,2.5e-07,0.107997822892007
21,2.5e-07,0.120574879765162
21,1.25e-06,0.0689640601683966
21,1.25e-06,0.0847021483722581
21,1.25e-06,0.101931599333877
21,2.5e-06,0.0591079084984568
21,2.5e-06,0.0670766464352518
21,2.5e-06,0.0838733077178372
