t,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs
0,0.000103913987683048,0.00099431926368305
7.5,NaN,0.47106490621223
10,0.422113232613639,NaN
15,NaN,0.255226009046943
20,0.229415361784321,NaN
25,NaN,0.0873124708627846
35,0.0971064257114165,0.0471558628857075
45,0.0845214821275195,0.0313158974557001
55,NaN,0.0250221838859336
60,0.0707660587715406,NaN
70,NaN,0.0231495781425776
75,0.0460397521885678,NaN
90,NaN,0.013538858961482
95,0.046530748512667,NaN
100,0.0384724567127355,NaN
150,0.0390876858880497,NaN
200,0.0280039968258165,NaN
