t,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,CISnRNA2_Obs,SOCS3nRNA4_Obs
0,0.000116934512757626,0.000121091799836803,8.69289952958146e-05,11.4191827793983,1.01351911493939e-06
20,NaN,0.141349714806583,NaN,NaN,NaN
25,NaN,NaN,NaN,670.920646884991,NaN
30,0.0280136769048438,NaN,0.0710728884497094,NaN,NaN
40,NaN,NaN,NaN,NaN,0.00130636556325612
45,NaN,0.0727388555445204,NaN,1917.51597685454,NaN
60,0.0150645201277696,NaN,0.0205407458581554,NaN,NaN
70,NaN,0.0492149398791514,NaN,NaN,NaN
75,NaN,NaN,NaN,2307.25487527987,NaN
80,NaN,NaN,NaN,NaN,0.00102848348793896
90,0.0132463493150659,NaN,NaN,NaN,NaN
95,NaN,0.0408705085134933,0.0139725963579687,NaN,NaN
100,NaN,0.0401002388887492,NaN,2235.20513668289,0.000617980164869492
150,0.0110883058451127,0.0365621974439133,0.00867821890955398,1123.12138756094,0.000469145072773306
200,0.0102796984937448,0.0372861224269696,0.00876169921908838,937.029447320483,NaN
250,0.00841542724876442,0.0338515358848177,NaN,782.673436842392,0.000357959656938957
300,NaN,0.0341734122009387,0.00764229450189427,NaN,0.000322778105837093
350,0.00870423689748562,NaN,NaN,758.749319222076,0.000398467998541625
400,0.0101845305841194,NaN,NaN,791.278542294061,NaN
450,NaN,NaN,NaN,NaN,0.000320960876604167
