t,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs
0,0.000126087812544725,0.000109140988014802
15,0.00373055375399108,0.00356837096091156
25,NaN,0.04405581773084
30,0.0861341546148194,NaN
40,NaN,0.0348050361825436
50,0.100834721368599,NaN
55,NaN,0.0247066781967
65,0.0762774277448336,NaN
75,NaN,0.0142661233150063
90,0.0488201007818219,NaN
95,NaN,0.00863273934342541
100,0.0535686586971215,0.0113959610425849
150,0.0294908831977878,0.00882322249029263
200,0.030769337451249,0.00794100395929111
250,0.0348828777901828,NaN
