t,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs
0,0.00012915635052465,0.000923866380559174
5,NaN,0.287203167214227
10,0.29762378335522,0.44080678553134
15,NaN,0.242537226613424
20,0.145103348926904,0.176986013932755
30,0.129229333439039,0.0632361944197338
35,NaN,0.0590475999496699
40,0.0892662484427882,NaN
45,NaN,0.0288922946581254
55,0.0578574010202855,0.0236287612238053
65,NaN,0.0239115909882047
70,0.0638700429823019,NaN
80,NaN,0.0158862254045296
90,0.0447548133925953,NaN
100,0.0383225260984176,NaN
150,0.0398947256324069,NaN
