t,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs
0,0.000122559128429298,1.10865466064886e-05
10,NaN,0.00141923980081554
15,0.036981494377341,NaN
20,NaN,0.00776784233027016
30,0.0387941024415646,NaN
35,NaN,0.00484082249078931
45,0.0192504120072171,0.00346152646185975
60,NaN,0.00127657356286371
65,0.0115906271747006,NaN
75,NaN,0.000983663313754262
85,0.00760570527850244,NaN
95,NaN,0.000760328456670342
100,0.0077734531617562,0.000752826986770908
150,0.00703159135491945,0.000471951113719973
200,0.00452977830763284,NaN
