t,epo_level,p1EpoRpJAK2_Obs
17,2.5e-09,0.00271572051240665
17,7.905e-09,0.00509935938178088
17,1.25e-08,0.00925607418546506
17,1.75e-08,0.0102331262047535
17,1.75e-08,0.0104057658994816
17,1.75e-08,0.0123423436002087
17,2.5e-08,0.011930347208692
17,2.5e-08,0.0134553702158148
17,2.5e-08,0.013971383981499
17,3.95e-08,0.0168227217591818
17,7.9e-08,0.0340133646458406
17,1.25e-07,0.0396661392175798
17,1.7675e-07,0.0411396041298166
17,1.7675e-07,0.0448047806132738
17,1.7675e-07,0.0450245143575295
17,2.5e-07,0.0559088765185964
17,7.905e-07,0.096433379082743
17,2.5e-06,0.124591363945953
