t,Compound_2_Obs,Compound_3_Obs
0,0.645980309025429,1.48170579671184
20,1.39453178464505,2.06150104157879
40,NaN,1.09327652920496
45,3.23900108198944,NaN
60,NaN,2.63796658115646
70,1.98636655522064,NaN
85,NaN,0.513168357945782
95,1.23541243680028,NaN
100,1.01939617998811,1.60378986822981
150,1.25328345775768,3.09723307587451
200,2.61797029086625,2.03126530786437
250,0.999406845244441,0.393967428319695
300,0.420599189314059,2.92372154123832
350,0.620369817895066,9.46897365325396
450,0.369496790846406,4.15942598279345
