t,Compound_1_Obs,Compound_2_Obs
0,0,0.00698072840548055
15,NaN,0.53487018375139
30,0.394012737590476,NaN
35,NaN,0.870688159392977
55,NaN,1.93438491679007
60,1.70143811156583,NaN
75,NaN,2.05612473896272
90,8.18058316402751,NaN
95,NaN,3.24332847768141
100,9.01654200555267,2.82428300363964
150,7.13807738002075,5.44493154600983
200,7.28888520605006,5.65042915753276
250,14.537405130131,4.48282196952804
300,NaN,2.73340305948911
350,10.3667039377424,4.17173663299787
450,4.08722880921592,6.74705524252976
