t,SFK_Obs,Compound_1_Obs
0,1.45501610634984e-09,0.913850649382705
25,NaN,1.06284381684029
30,8.39738752763951e-10,NaN
50,NaN,1.124788850999
60,7.8961172968101e-10,NaN
80,NaN,0.731332463599392
95,7.04534666516556e-10,NaN
100,NaN,0.798460114551929
150,8.34295683188713e-10,1.30659847427181
200,9.26905749634019e-10,1.07397010975085
250,1.03229629678321e-09,2.19538447152826
300,NaN,1.59047602832072
350,1.06959195764557e-09,3.70169674405866
400,1.20741719642847e-09,NaN
450,NaN,1.94404167765262
550,NaN,2.49179286315076
