t,ApoER2_re_Dab1SFKInh_Obs,Compound_1_Obs
0,1.33333700249594e-05,0.899644833041334
25,NaN,0.421785522629205
35,0.000569091525007688,NaN
55,NaN,1.71271288088907
70,0.000838146506368586,NaN
85,NaN,0.971580512499861
100,0.000700964170536041,0.651580093170317
150,0.000912223952861999,0.407869705183121
200,0.001516340492262,0.158332920323851
250,0.00161522823167324,0.184524385781095
300,0.00273726022765912,0.0948166881961889
350,NaN,0.211985309511942
400,0.000791027751409708,NaN
450,0.0023463178490803,0.252333237252409
550,NaN,0.0821925365145444
600,0.00191004558946991,NaN
