t,EpoRJAK2_Obs,p12EpoRpJAK2_Obs,SOCS3nRNA5_Obs,SOCS3_Obs,Compound_2_Obs,Compound_3_Obs,Compound_5_Obs
0,5.03374858547835,-0.0219425554457018,-2.8800135293265e-06,0.565498695702127,-0.0046563573824209,73.602941137633,-62.6038550811462
4,NaN,0.774035160285647,NaN,NaN,NaN,NaN,NaN
4.5,NaN,NaN,NaN,NaN,NaN,61.9617914933267,NaN
6.5,4.02002336032117,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,0.00017753402821429,NaN,0.0647790316606276,NaN,NaN
8.5,NaN,0.94504797960405,NaN,NaN,NaN,NaN,404.704912439647
9,NaN,NaN,NaN,0.958993674737939,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,60.8866011653529,NaN
15,4.9092109189456,0.389598942829285,0.000602728299925878,NaN,0.0560263362921955,62.1830438019565,902.288730047904
20,6.09664192995401,0.294481584190456,NaN,2.69380415141804,NaN,54.3339496149018,NaN
25,NaN,0.165468313359107,0.00105524088369829,NaN,0.0617113212784343,49.3978043624678,1472.47608311546
30,4.61011806960791,0.217987304842166,NaN,5.18566380439387,NaN,NaN,NaN
35,4.45555149946063,NaN,0.0012796647161875,NaN,0.0488244924034663,63.9961243170465,2326.93982783044
40,NaN,0.0942289708747429,NaN,8.55887913908475,NaN,58.6021178126048,NaN
45,5.41648714584833,0.0790718320598711,0.00114792397197515,NaN,0.032687688916662,NaN,1886.61774683854
50,NaN,NaN,NaN,8.59797174924853,NaN,48.7077503791497,NaN
55,4.53649228999988,0.197879963734495,0.0012520174501239,NaN,0.03635559037302,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,74.4242838357567,1888.01281245603
65,NaN,NaN,NaN,14.8539411188459,NaN,NaN,NaN
70,4.6449753161444,0.113854694655651,0.00114657706234473,NaN,0.0366081771884935,NaN,1487.30327962505
75,NaN,NaN,NaN,NaN,NaN,55.0647465458596,NaN
80,NaN,NaN,NaN,14.6002133359193,NaN,NaN,NaN
85,NaN,NaN,0.000888362569506547,NaN,0.0394747837075628,NaN,1465.13945642658
90,4.85786806776674,NaN,NaN,NaN,NaN,NaN,NaN
100,5.22212979057673,NaN,0.000910364885537265,19.8978329094796,0.0318688392812161,NaN,1578.27572981388
150,NaN,NaN,0.000635422773448346,21.3197834852513,0.0225174727497672,NaN,1055.1825342182
200,NaN,NaN,NaN,NaN,NaN,NaN,1114.04120729478
