t,EpoRJAK2_Obs,p12EpoRpJAK2_Obs,SOCS3_Obs,Compound_1_Obs,Compound_2_Obs,Compound_4_Obs,Compound_5_Obs
0,5.57962503220349,-0.0202158222418039,129.638594324294,4.36977416350459,0.000985507853376551,34.1745296390683,187.602124080372
8.5,NaN,0.0977614948642772,NaN,NaN,NaN,NaN,NaN
9.5,6.0097314231046,NaN,NaN,NaN,0.0684971682734516,NaN,NaN
10,NaN,NaN,NaN,4.07157707001758,NaN,NaN,128.501257415065
15,NaN,0.245354800169425,137.39124634449,NaN,NaN,33.0958355293877,NaN
20,4.30289590831806,NaN,NaN,4.97659615992617,0.0564963827456681,NaN,131.841465160869
25,NaN,0.234141178476415,NaN,NaN,NaN,35.6398069051494,NaN
30,5.4412893121304,NaN,144.981660384502,6.33585370746808,0.0346889747907716,NaN,296.241965641719
35,NaN,0.102761928910204,NaN,NaN,NaN,NaN,NaN
40,5.38024073630173,NaN,NaN,NaN,NaN,42.1656547595435,NaN
45,NaN,NaN,128.079331792437,5.64037695396603,0.029467551373229,NaN,320.062434916058
50,NaN,0.100810578171021,NaN,NaN,NaN,NaN,NaN
55,5.07118490176584,NaN,NaN,NaN,0.0341028064874155,49.5416826290529,399.146609896472
60,NaN,NaN,NaN,4.18689432188496,NaN,NaN,NaN
65,NaN,0.0543461366770361,113.16884409172,NaN,NaN,NaN,NaN
70,5.18977080737732,NaN,NaN,NaN,0.0276986746034454,45.7828497803578,433.542811156993
75,NaN,NaN,NaN,5.24489206603678,NaN,NaN,NaN
80,NaN,0.035025033583565,133.445740180695,NaN,NaN,NaN,NaN
85,4.37952231917089,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,5.67190892303993,0.0245790247997766,40.2772307529431,393.830772813372
100,3.69843005265673,0.0405108566937508,130.453821887132,4.55634464749501,0.0257919084400369,32.8846258046703,402.003611101943
150,4.76263370359188,NaN,137.264137276781,5.2633472324367,0.0289392505520519,38.2272469590858,402.505850291629
200,NaN,NaN,149.349770418039,NaN,NaN,39.8918876583966,439.720810561526
250,NaN,NaN,153.118477753147,NaN,NaN,34.2191534157696,352.728665083617
300,NaN,NaN,142.72039134744,NaN,NaN,36.0360474478426,412.786312626212
