t,EpoRJAK2_Obs,p12EpoRpJAK2_Obs,Compound_2_Obs,Compound_5_Obs
0,5.54397928506612,-0.042573576486274,0.00843652684157536,93.2982335340636
6,1.44877315393624,NaN,NaN,NaN
6.5,NaN,NaN,0.143500568567626,NaN
7,NaN,2.69548350496389,NaN,NaN
8,NaN,NaN,NaN,826.390311141814
10,1.2228889030779,NaN,NaN,NaN
15,NaN,1.184806738723,0.222060025292388,1144.65722285629
20,2.38848252804638,0.909780998160175,0.205000172060646,NaN
25,2.36521289786413,NaN,0.204253718150792,2146.06507495317
30,NaN,0.510191732150205,NaN,NaN
35,3.76958041976168,NaN,0.182494265428785,2191.43790472922
40,2.17138060435868,0.19008487275316,0.1628290797649,NaN
45,NaN,NaN,NaN,2620.2360432035
50,NaN,0.216813993430898,0.172159717327376,NaN
55,3.98672814945675,NaN,NaN,2626.96585084792
60,NaN,0.166027153645288,0.168312204653106,NaN
65,3.37303479035582,NaN,NaN,NaN
70,NaN,NaN,NaN,2353.37880533386
75,NaN,0.0693918764745438,0.0981109856438295,NaN
80,3.62505149996079,NaN,NaN,NaN
85,NaN,NaN,NaN,1790.31681280846
90,NaN,0.110058743842224,0.143499268857204,NaN
95,3.80415725590094,NaN,NaN,NaN
100,4.03371254676289,0.291892880838901,0.110736145819372,2088.10818497692
150,NaN,0.102430385528071,NaN,1828.88507009257
200,NaN,NaN,NaN,1661.81067199769
