t,epo_level,Compound_5_Obs
9,2.5e-09,-23.5421720531784
9,2.5e-09,-23.414856108273
9,2.5e-09,5.25028898523575
9,7.905e-09,-46.471327968958
9,7.905e-09,12.2702847293364
9,7.905e-09,12.3142389495974
9,1.25e-08,-7.19947160068694
9,1.25e-08,39.1646551092554
9,1.25e-08,39.5164435231527
9,1.75e-08,-9.20891310310582
9,1.75e-08,42.3804971728943
9,1.75e-08,53.3710314932239
9,2.5e-08,35.0901636208005
9,3.95e-08,107.0766788759
9,7.9e-08,214.930776114271
9,1.25e-07,249.897325560385
9,1.25e-07,270.586255059506
9,1.25e-07,287.244099206079
9,1.7675e-07,331.828253597257
9,1.7675e-07,355.127155718147
9,1.7675e-07,433.863498787273
9,2.5e-07,406.752326273158
9,2.5e-07,425.01604822347
9,2.5e-07,434.599097026827
9,7.905e-07,511.059657851169
9,7.905e-07,532.783274723459
9,7.905e-07,610.017911196591
9,2.5e-06,559.851363129638
