t,EpoRJAK2_Obs,p12EpoRpJAK2_Obs,SOCS3nRNA5_Obs,SOCS3_Obs,Compound_2_Obs,Compound_3_Obs,Compound_5_Obs
0,5.12762308263861,-0.0482631280577504,1.11037439704992e-05,-0.729731988656182,-0.00885191732257168,49.1967609418286,-401.092204616083
5,NaN,0.995485906565955,NaN,NaN,NaN,NaN,NaN
5.5,NaN,NaN,NaN,NaN,NaN,51.4652437980884,NaN
6,2.97591636401084,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,-1.55677199711772,0.0711001568207764,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,211.230649614493
10,4.14824583241303,0.869782628173014,0.000382197633095823,NaN,NaN,50.1655235842477,NaN
15,NaN,0.375407111911956,NaN,3.39971913643159,0.0579714443406479,69.336188258298,NaN
20,5.29206682211685,NaN,0.00104114143450215,0.507859301621229,0.0565698845883603,NaN,1582.52659857323
25,5.20657545778239,0.172427985018613,NaN,NaN,NaN,59.0573878740861,1612.10834052118
30,NaN,0.156070539418896,0.00156789126178026,3.62161044940026,0.0445521638714446,57.8878354149057,NaN
35,5.37635218201108,0.105407140883981,NaN,NaN,NaN,NaN,2334.99694435009
40,5.1010475824726,NaN,NaN,9.06057568631748,0.0420192893690338,63.5977838831081,NaN
45,NaN,0.110777833189065,0.00120818845298068,NaN,NaN,60.4840747311999,NaN
50,5.35626343470753,NaN,NaN,12.2338946841422,0.0289071463242479,NaN,2308.74262317974
55,NaN,0.0329400531995658,0.00114188615960958,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,13.7772440648366,0.0416581268809257,56.5846776597427,2157.39541246393
65,5.14295698885595,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,0.0846405114175402,0.00111295806843298,NaN,NaN,45.2364296392287,NaN
75,5.01808901474771,NaN,NaN,14.8750528456812,0.0415044545479842,NaN,1791.9680453626
85,NaN,0.0874572521898465,0.000935009957698236,NaN,NaN,53.6660089710121,NaN
90,4.80640790635685,NaN,NaN,20.1262579941871,0.0275396381479352,NaN,1371.27334480491
100,5.37592918945098,NaN,0.00099356266387058,18.4438403730201,0.0250183990619825,NaN,1442.41554953626
150,NaN,NaN,0.000718834993948657,18.8866823738789,0.0343557939125756,NaN,1097.28160466122
200,NaN,NaN,0.000491048806021553,NaN,NaN,NaN,1088.70517338696
