t,EpoRJAK2_Obs,p12EpoRpJAK2_Obs,STAT5_Obs,Compound_1_Obs,Compound_2_Obs,Compound_4_Obs
0,5.41041179365053,-0.0877509005189581,41.4378792349817,6.21976744693691,0.00185662315768757,40.3638154065854
5.5,NaN,NaN,NaN,NaN,NaN,3.11208929265019
6,NaN,NaN,0.890489308286842,NaN,NaN,NaN
8.5,NaN,NaN,NaN,3.42085535666805,NaN,NaN
9.5,2.86168095086059,NaN,NaN,NaN,NaN,NaN
10,NaN,1.61168838034744,0.184464318232522,NaN,0.0594523843869959,-0.875557325465529
15,NaN,NaN,NaN,3.92364077352459,NaN,0.934672975784895
20,4.39351317115802,NaN,-0.056970617092387,NaN,NaN,NaN
25,NaN,0.558867152947319,1.14594084497215,3.51244320536244,0.0690808697094523,0.764523337751603
30,4.95674612150972,NaN,NaN,NaN,NaN,1.77079707801976
35,NaN,0.575454554889937,0.455962818444452,4.03184126535915,0.0551287919128311,NaN
40,5.5219819001957,NaN,1.83870948489995,NaN,NaN,2.68820200649641
45,NaN,NaN,NaN,4.62692942985846,NaN,NaN
50,NaN,0.33380002115943,2.64156863092976,NaN,0.0638114580032837,2.19791987236359
55,4.8937032930256,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,4.24741290001341,NaN,2.88816823879587
65,4.6303900862293,0.289644589095661,3.00138952632258,NaN,0.0663478283762901,NaN
70,NaN,NaN,NaN,NaN,NaN,3.18667061847833
75,NaN,NaN,4.46152034085396,4.98853662138127,NaN,NaN
85,5.25808024915604,0.276977653538888,NaN,NaN,0.060913742545958,3.67161760478315
90,NaN,NaN,4.70113192601893,4.74387856315273,NaN,NaN
100,4.31141253445272,0.326585367587477,NaN,5.31630611233245,0.0552224849541398,NaN
150,3.99266280124094,NaN,NaN,4.27475707868349,0.0518975038213017,NaN
200,4.66676041973885,NaN,NaN,NaN,NaN,NaN
