t,EpoRJAK2_Obs,p12EpoRpJAK2_Obs,SOCS3_Obs,Compound_1_Obs,Compound_2_Obs,Compound_4_Obs,Compound_5_Obs
0,5.6393950964879,-0.000688969507586323,5.1233952577974,7.17036205269716,-0.0147780725477529,42.478239542852,30.1180749719991
7.5,NaN,1.59579494235854,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,3.08033004342199,0.0553222169535157,NaN,NaN
9.5,2.92152158288906,NaN,NaN,NaN,NaN,2.28952792640357,NaN
10,NaN,NaN,0.494710459962227,NaN,NaN,NaN,447.397658534346
15,NaN,1.10670655900991,NaN,NaN,0.0677523273620396,NaN,NaN
20,3.71191461354193,NaN,NaN,4.12462933439065,NaN,0.917169743084852,NaN
25,NaN,0.583467653770018,5.41567309316722,4.46580020969467,0.0621678132475845,NaN,1886.20410253066
30,5.51003508977697,NaN,NaN,NaN,NaN,7.57211305407132,NaN
35,NaN,0.369354809069747,9.68556836195482,4.36276252326137,0.0538713074090492,NaN,NaN
40,5.06859761772515,0.32546185740601,NaN,NaN,NaN,10.1596790569914,2487.8326548063
50,5.22765306530814,NaN,12.7109106690881,4.93542382358251,0.0563715836073562,NaN,2335.58075894872
55,NaN,0.197567774692898,NaN,NaN,NaN,13.1292541433485,NaN
60,NaN,NaN,NaN,4.71768353955073,0.0487823213592241,NaN,NaN
65,4.86853144407365,0.149396500618807,15.0859022175218,NaN,NaN,NaN,1848.22467637868
70,NaN,NaN,NaN,NaN,NaN,20.0567645427729,NaN
75,NaN,NaN,NaN,4.90163313821302,0.0394138320165603,NaN,NaN
80,4.79470023878393,0.196230793976668,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,21.1886686666282,NaN,NaN,19.8825700935973,1883.63552473723
90,NaN,NaN,NaN,4.80804817280683,NaN,NaN,NaN
95,NaN,0.155974103398035,NaN,NaN,0.0515350446776724,NaN,NaN
100,5.00115778506705,0.267363867983022,22.5590187211911,5.05582379909473,0.0499413560817628,22.6531429135888,1530.37627061757
150,4.83237630599841,0.162410933866675,22.953189833132,5.21868829902475,0.0468111688496703,25.3728323303324,1213.93005406237
200,NaN,NaN,21.689771247077,NaN,NaN,24.0563984479151,1162.5355456021
250,NaN,NaN,24.0295170993331,NaN,NaN,NaN,946.50811258869
300,NaN,NaN,23.9257945898857,NaN,NaN,NaN,1155.24394565843
