t,EpoRJAK2_Obs,p12EpoRpJAK2_Obs,SOCS3nRNA5_Obs,SOCS3_Obs,Compound_2_Obs,Compound_3_Obs,Compound_5_Obs
0,5.70834402720217,0.0190791817524607,-0.000102645876933685,1.68986935641954,0.00106946403584746,25.4534923806957,-409.877788438478
5.5,NaN,NaN,NaN,NaN,NaN,21.3944862076448,NaN
6.5,3.55501784998701,1.48050681834616,NaN,NaN,0.0717016364573994,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,139.917999676145
9,NaN,NaN,NaN,-1.23266193834754,NaN,NaN,NaN
10,NaN,NaN,0.0002079870332702,NaN,NaN,17.9939329251393,NaN
15,4.36337803707289,1.20112543884449,NaN,NaN,0.061572177647841,NaN,1300.24030772314
20,4.69628150015512,0.734026725486805,NaN,1.12538308675889,0.0629399369758434,23.9465978045441,NaN
25,NaN,NaN,0.00121168140779244,NaN,NaN,24.2171885227465,1644.13682462942
30,3.26125866132376,0.522105476951074,NaN,6.65377377186909,0.0617116395780645,22.054125479582,NaN
35,4.2813746473011,0.37627484383535,0.00112505941548164,NaN,0.0614749986571795,NaN,1942.48874760231
40,NaN,NaN,NaN,10.5565003934363,NaN,19.8670188860265,NaN
45,4.2590652270375,0.22701535427756,NaN,NaN,0.04975756405065,NaN,2307.66868310577
50,NaN,NaN,0.00143621844367664,11.1541524673763,NaN,20.8160785704812,NaN
60,4.74404076043924,0.196316324853069,NaN,NaN,0.0462041883258901,25.3186758879706,2297.31195164246
65,NaN,NaN,NaN,15.2163211780627,NaN,NaN,NaN
70,4.27406617182687,0.190395881868642,0.00115650107459787,NaN,0.0549223430578673,NaN,1950.26295035169
75,NaN,NaN,NaN,NaN,NaN,22.2763707307234,NaN
80,NaN,NaN,NaN,18.1674323385203,NaN,NaN,NaN
85,5.73302627200204,0.198023635339919,NaN,NaN,0.044249465153387,24.135835325429,1824.64945927117
90,NaN,NaN,0.000884123903688237,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,18.1615668303207,NaN,NaN,NaN
100,4.91233198504848,0.0783800352856571,0.000748608804933416,21.5115592999453,0.0451913849920544,NaN,1614.17879866032
150,4.99662730111636,NaN,0.000663403563269368,24.0653822202127,0.0467868184000611,NaN,1006.03029661371
200,NaN,NaN,0.000594294789243058,NaN,NaN,NaN,1134.58551831375
