t,epo_level,EpoRJAK2_Obs,p12EpoRpJAK2_Obs,Compound_2_Obs,Compound_5_Obs
30,2.5e-09,4.27626252598611,0.284119311182654,0.00807189959976092,41.1468124545898
30,2.5e-09,4.43918228635098,0.26702175471397,0.00541621557968478,-12.2753847484561
30,2.5e-09,5.84121264491273,0.264593892642732,-0.00205421896886084,205.826816715754
30,2.5e-08,4.55190757772179,0.50205724704401,0.0340325675276144,799.327260070877
30,2.5e-08,5.37788641444934,0.403158501077159,0.00556306382194352,944.263527471928
30,2.5e-08,5.63381875755333,0.492178292178245,0.0141139383785787,939.515364673768
30,1.25e-07,4.11365787356783,0.44232080780472,0.0537284976184233,2209.65482628371
30,1.25e-07,4.44834077692326,0.519168728418787,0.0619490825075528,2048.11508633883
30,1.25e-07,4.5753037231526,0.358030870216869,0.0761804561714389,2019.38127912693
30,2.5e-07,3.91382874611748,0.415452331781751,0.0889003254814427,1808.50650235822
30,2.5e-07,4.4893942333806,0.447372590397114,0.0979249874739155,1869.77468286669
30,2.5e-07,4.60342926312053,0.435062307881143,0.115889818235793,2098.18453206436
30,1.25e-06,2.86558738967665,0.47330218534468,0.207417665299319,2081.06541499874
30,1.25e-06,2.934183709826,0.480739396812471,0.208937743669778,1725.08673005699
30,1.25e-06,3.15674540887705,0.438808153240429,0.18885330441354,2347.07993146927
30,2.5e-06,2.22240466168975,0.454218294494105,0.252553373587943,2365.29674624408
30,2.5e-06,2.31672873036781,0.434616714950166,0.267230281121984,2647.48347899135
30,2.5e-06,3.05605624075249,0.536572526820504,0.247627815687877,2141.64548799918
