t,EpoRJAK2_Obs,p12EpoRpJAK2_Obs,SOCS3_Obs,Compound_1_Obs,Compound_2_Obs,Compound_4_Obs,Compound_5_Obs
0,5.47093142216572,-0.00121279711993976,137.817207409647,5.66178670703734,0.00144605519433245,43.6039407712158,155.36350710747
9.5,5.24209425830162,0.123071727262579,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,4.96810285483322,0.0658559226654835,33.7966844613391,173.166250404901
15,NaN,NaN,103.434202521048,NaN,NaN,NaN,NaN
20,5.06646642493916,0.27115883182179,NaN,4.84158571129591,0.0486492098501069,NaN,214.054502965014
25,NaN,NaN,NaN,NaN,NaN,34.4135469998446,NaN
30,5.2994205742823,0.14959751131835,128.199161525725,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,4.46001158093824,0.03662413412291,NaN,272.353164284308
40,4.79709104121044,0.0920760607400175,NaN,NaN,NaN,32.4561368468422,NaN
45,NaN,NaN,126.101313122482,5.48235672221564,0.0278723148275641,NaN,422.563115559655
55,5.3984888281533,0.0648284830733085,NaN,NaN,NaN,44.1860518394088,NaN
60,NaN,NaN,NaN,5.32505487746325,0.0276910872866982,NaN,398.654411514299
65,NaN,NaN,109.330075183549,NaN,NaN,NaN,NaN
70,4.89750302774664,NaN,NaN,NaN,NaN,33.6350917733392,NaN
75,NaN,0.0673145257320086,NaN,5.37710180293235,NaN,NaN,396.266615607607
80,NaN,NaN,103.014457438494,NaN,0.0300157251276788,NaN,NaN
85,5.51395799436704,NaN,NaN,NaN,NaN,37.8933843179123,NaN
95,NaN,0.0521931659731012,NaN,5.46622341996884,NaN,NaN,402.946689085592
100,4.61347103409215,0.0459428101453848,137.565552238538,5.13499338257166,0.030378404170254,39.7923109649521,417.985210574559
150,4.80525754366626,NaN,116.768237270826,5.42489204641241,0.0278257985636028,36.1630516563294,369.700593226387
200,NaN,NaN,150.182797890404,NaN,NaN,36.2724936122243,362.395908096838
250,NaN,NaN,158.806980317143,NaN,NaN,44.0266233418319,398.36203681057
300,NaN,NaN,114.362162995712,NaN,NaN,36.5268686226554,360.212223724518
