t,EpoRpJAK2_Obs,npSTAT5_Obs,CISHnRNA2_Obs,CISHRNA_Obs,SOCS3RNA_Obs,Compound_3_Obs,Compound_4_Obs,Compound_7_Obs
0,0,0.00125741855730955,0.000128478760847,0.000366498658203252,0.0668443064524814,116.296079551242,0.0881594279379467,36.6650595465404
6,0.0974537674645511,NaN,NaN,NaN,NaN,NaN,NaN,49.3036760446176
7.5,NaN,NaN,0.000645379945143433,NaN,NaN,NaN,NaN,NaN
8.5,NaN,0.589353214737567,NaN,NaN,NaN,NaN,NaN,NaN
10,0.0925433704005947,NaN,NaN,NaN,NaN,106.595399678704,3.27938828380031,NaN
15,NaN,0.860087864727993,0.0036896507817852,0.000681267199895074,0.086449288680076,NaN,NaN,37.5722780616114
20,0.0763880379191554,NaN,NaN,NaN,NaN,94.0922681071318,3.60955535896592,46.523612321474
25,0.0704635525382335,0.971644237559682,0.00762605073306266,0.00222947649634696,0.0686857131128648,NaN,NaN,33.0391257395741
30,NaN,NaN,0.00687342249883873,NaN,NaN,86.9119753732099,2.91176481898065,NaN
35,0.0524394731590696,0.866206764405165,NaN,NaN,NaN,NaN,NaN,51.1107614787791
40,NaN,NaN,0.0061362884163005,0.0103403259254876,0.064256541251443,124.95757970793,NaN,NaN
45,0.0506067976592614,NaN,NaN,NaN,NaN,NaN,3.17549943896472,45.0291853050849
50,NaN,0.593193038003031,0.00461188232679069,NaN,NaN,NaN,NaN,NaN
55,0.0515294790394864,NaN,NaN,0.016495161587454,NaN,121.177102997999,2.62237315988747,38.5046031682035
60,NaN,0.459075835215831,NaN,NaN,0.0647001458120546,NaN,NaN,NaN
65,0.0470799796306962,NaN,0.00262597698401278,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,0.0147702074089347,NaN,125.78590906309,1.76763065625475,37.3303064500944
75,0.0519014605099575,NaN,0.00236964952022843,NaN,0.088327159586917,NaN,NaN,NaN
80,NaN,0.385152736767233,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,116.01092933966,1.95304215195722,33.5050004478376
90,0.0445947963387097,NaN,0.00226151402798371,0.01296662438352,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,0.0786027472076474,NaN,NaN,NaN
100,0.0553403143093891,0.257381378754882,0.00168657564418655,0.0105514718973903,0.0512221263893254,91.056119614305,1.4066006085167,40.9202562454382
150,NaN,0.231413441595635,0.00126167737979354,0.00304285958739132,0.0819891023116557,81.4677515884746,1.01322545022646,NaN
200,NaN,NaN,NaN,0.0031633918122983,0.0800423850257006,90.0791256074,0.823453411330909,NaN
