t,EpoRpJAK2_Obs,npSTAT5_Obs,CISHnRNA2_Obs,CISHRNA_Obs,Compound_3_Obs,Compound_4_Obs,Compound_7_Obs
0,0.000135822828236884,0.000633643166568554,8.49597314608494e-05,0.00018530506232575,48.8870783477188,0.0566546503531783,120.956833107051
5.5,0.172357534656447,NaN,NaN,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,NaN,NaN,NaN,29.4406938754003
7.5,NaN,0.849748655154086,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,75.2120483509453,NaN,NaN
9.5,NaN,NaN,0.000533505787741436,NaN,NaN,NaN,NaN
10,0.0693851405745484,NaN,NaN,0.000449503471343316,NaN,4.2537710584719,46.4494526621328
15,0.186931452626561,0.32502351198296,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,0.00476573213098326,NaN,395.78172752239,4.09411615789448,37.0589984640097
25,0.117369872797696,2.40289701922533,NaN,0.00271217546864078,NaN,NaN,22.8488823812258
30,0.10493327550319,1.29167700726646,0.00611279108796622,NaN,53.2481642272754,4.81142790057154,NaN
35,NaN,NaN,NaN,0.00850285500954646,NaN,NaN,22.6092028950257
40,0.0467864591303634,1.34961660416609,0.00559357109636424,NaN,51.3008407197734,3.32127533558521,NaN
45,0.0410354575216399,NaN,NaN,NaN,NaN,NaN,53.7494940063777
50,NaN,NaN,0.00481872220115537,0.0130524367268698,96.6312990360866,NaN,NaN
55,0.027899682264622,0.52826660857933,NaN,NaN,NaN,5.49670965081459,93.5912992849611
60,NaN,NaN,NaN,NaN,110.365635294609,NaN,NaN
65,0.0895069701325282,0.285863507041997,0.0031883275959921,0.00743269485024657,NaN,NaN,46.64399511742
70,NaN,NaN,NaN,NaN,NaN,2.42079006920372,NaN
75,NaN,NaN,NaN,NaN,203.876800025193,NaN,NaN
80,0.049705986383107,0.519215816683089,0.00394552622312817,0.00920049940414328,NaN,NaN,27.2703652827922
85,NaN,NaN,NaN,NaN,NaN,1.97836864208821,NaN
90,NaN,NaN,NaN,NaN,187.638916237461,NaN,NaN
95,0.103477444326084,0.195521393635083,0.000680929963342346,NaN,NaN,NaN,NaN
100,0.202976091192708,0.148661439568192,0.00200067205912471,0.00726790487227383,72.6757127118945,0.984870548042452,73.3866948641651
150,NaN,0.216283696436957,0.00206334425543961,0.00361880860568464,247.084612923022,0.618903447736593,NaN
200,NaN,NaN,NaN,0.0028539861904767,128.899605560762,1.40585754408183,NaN
