t,EpoRpJAK2_Obs,STAT5_Obs,npSTAT5_Obs,Compound_4_Obs,Compound_7_Obs
0,0.00093112395902883,0.676649437164779,9.69569759370599e-05,0.0205303836847007,1.24519973867088
10,NaN,NaN,0.0961785755691035,NaN,NaN
15,0.842807289034039,1.01995734328826,NaN,4.22175986085574,3.98973284309708
25,0.921893876687705,NaN,0.038736429969961,NaN,NaN
30,NaN,NaN,NaN,NaN,3.24181441472037
35,NaN,1.29451360776358,0.0568614609606597,2.82552335394886,NaN
40,1.30790885561361,NaN,NaN,NaN,NaN
50,NaN,2.13937193452789,0.0408755808028457,NaN,1.96458746685942
55,0.602454478587868,NaN,NaN,0.911732383297588,NaN
65,NaN,NaN,0.00633738461304453,NaN,NaN
70,0.690480300937409,1.05453525106855,NaN,NaN,2.10281535249669
75,NaN,NaN,NaN,1.27933378642572,NaN
85,NaN,NaN,0.0149592361396183,NaN,NaN
90,0.396856372332774,1.72537006081259,NaN,NaN,3.39705802856448
100,0.657649695264936,2.57217494532729,0.0145031755945905,0.749194206360681,2.77288373714022
150,0.356488055868139,1.15411612207196,0.00414030950368578,0.426607470821887,1.10848521534243
200,0.479609307369401,2.62015263297137,NaN,1.8162584463586,1.5662134901614
250,0.830545569570406,1.67514542914263,NaN,0.93079354640145,1.58482974345631
300,NaN,0.988943374576412,NaN,1.7439106195376,NaN
