t,EpoRpJAK2_Obs,Compound_7_Obs
0,0.000517514370174065,46.3337432154834
5.5,0.384238648137412,12.472476866404
10,0.672731084568117,27.2419760281566
15,0.47256667164664,26.3734120178505
25,0.497223240944352,51.2559124407882
30,0.462317120287837,20.4747732638055
40,0.542655775179496,32.652816802296
45,0.516873784063378,NaN
50,NaN,31.4791579303122
55,0.303695659921086,NaN
60,NaN,25.532200170239
65,0.506872606432147,NaN
75,NaN,46.7586198345757
80,0.385795851020152,NaN
90,NaN,46.7373563391066
95,0.474151272900942,NaN
100,0.193833092611187,NaN
