t,EpoRpJAK2_Obs,npSTAT5_Obs,Compound_4_Obs,Compound_7_Obs
0,0,9.33388981556545e-06,0.00526623532530974,1.40669509224486
10,0.053122510869535,0.00710858864998807,NaN,1.29527732980656
15,NaN,NaN,0.193739001631444,NaN
25,0.0600714988340669,0.00410960633417447,NaN,1.91978445432038
35,0.0932925005890572,NaN,0.190783303147486,1.42751204374425
40,NaN,0.00313636160174482,NaN,NaN
50,0.0684889691180957,NaN,NaN,1.59284964356455
55,NaN,0.00276430605047543,0.15097842867868,NaN
65,0.0715310026194346,NaN,NaN,1.64376893207311
70,NaN,0.00199991751848291,NaN,NaN
75,NaN,NaN,0.124504573808203,NaN
80,0.0801871469844924,NaN,NaN,NaN
85,NaN,NaN,NaN,1.05962187633623
90,NaN,0.00287433582030017,NaN,NaN
95,0.0796527555321152,NaN,0.163386128640436,NaN
100,0.0939045277226714,0.00166597602455266,0.136360475789634,1.11852249981756
150,0.0711817626770528,0.00152560252270217,0.168819287673204,1.68476816102495
200,0.0912693802878563,0.0016936194197833,0.166210116803385,1.21500141579917
250,0.0620306045243604,NaN,0.127314196924502,NaN
300,NaN,NaN,0.137490122393786,NaN
