t,SOCS3RNA_Obs,Compound_1_Obs,Compound_6_Obs
0,0.0522523653802963,3.22975622731033,101.793603701225
10,NaN,3.26542012176642,NaN
15,0.066769750347135,NaN,240.381909309657
25,0.0430489710064252,2.14251527820832,66.261929660324
40,0.0710681267098029,4.65698987487733,43.5224676306242
55,0.0597069467853498,NaN,31.5597420980592
60,NaN,3.78158037351662,NaN
70,0.050636732594895,NaN,NaN
75,NaN,1.84658904998061,46.1611364150515
90,0.0782396579056348,NaN,NaN
95,NaN,NaN,48.7266683115734
100,0.0606190676261969,3.52455204126442,48.6516207415452
150,0.0356270080137755,NaN,51.7400618555621
200,0.0489213797332598,NaN,61.3677364658164
250,NaN,NaN,229.662653090535
