t,EpoRpJAK2_Obs,STAT5_Obs,npSTAT5_Obs,SOCS3RNA_Obs,Compound_4_Obs,Compound_7_Obs
0,0,1.64587045601025,7.71822849616761e-05,0.0240246186213956,0.0174256882568233,1.55201972641498
8,NaN,NaN,NaN,0.0134234889047999,NaN,NaN
10,NaN,NaN,0.118415618111682,NaN,NaN,NaN
15,0.900923818489181,NaN,NaN,0.0192513667895162,3.34103687103316,2.39339954464649
20,NaN,1.41207782344536,0.0719895502553485,NaN,NaN,NaN
25,NaN,NaN,NaN,0.0185580729114584,NaN,NaN
30,NaN,NaN,0.0336851743474168,NaN,NaN,2.41125144714734
35,0.685197338241328,0.862350621721635,NaN,0.0210907641566702,2.6058343469999,NaN
45,NaN,NaN,0.0257619079987519,0.0179407184375978,NaN,2.84688726336796
55,0.634380653799887,0.974654917037343,NaN,NaN,1.61734645864411,NaN
60,NaN,NaN,0.0170443661044342,0.0196572156803392,NaN,2.24910936324497
75,0.608877608030472,1.15282709989783,0.0143927749985306,0.0205690819425071,1.96175444545636,NaN
80,NaN,NaN,NaN,NaN,NaN,2.69493135734747
95,0.741113252046182,NaN,0.0153130471606001,0.0214775850484716,NaN,NaN
100,0.808796664860215,1.84063652900428,0.0148968973874765,0.0199693208801008,0.950572392885295,2.40707442499857
150,0.519650900625943,1.92108459086091,NaN,NaN,1.1409754468675,1.42318975279938
200,0.539638726426739,1.45658746896024,NaN,NaN,0.795461918927667,2.20681299672405
250,0.52076530506492,1.03584700262908,NaN,NaN,1.70151627672035,1.79067982761771
300,0.569776614795536,1.64455097263405,NaN,NaN,0.841885390974026,NaN
