t,SOCS3RNA_Obs,Compound_1_Obs,Compound_6_Obs
0,0.0222563034312922,2.77130285369791,8.15134542813638
20,0.015232753064575,1.59592563658257,NaN
30,NaN,NaN,6.8237055108902
35,NaN,1.78742373113417,NaN
40,0.0162036122326635,NaN,NaN
55,NaN,1.63055717995495,6.73766508882264
65,0.0155038852260671,NaN,NaN
75,NaN,1.07337757095382,NaN
90,0.0239762339955612,NaN,5.22925205779336
100,0.00987311091404102,1.35681673152197,9.32679796126156
150,0.0315177104425955,1.9550610161299,8.33041895682224
200,0.0118029938503608,2.82808784029125,10.8019889767514
250,0.0154114367584525,1.45808194834268,4.58207612299644
300,NaN,1.44700920696423,2.60787328258095
350,NaN,NaN,8.26827805690875
450,NaN,NaN,8.08877590858695
500,NaN,NaN,3.79766261427901
