t,EpoRpJAK2_Obs,npSTAT5_Obs,Compound_4_Obs,Compound_7_Obs
0,6.20818780327524e-05,0.00938830902693949,0.0843830109971091,30.8069695911067
10,NaN,NaN,NaN,55.6874044501847
15,0.0824942323506228,12.4043078629042,31.5456690433452,NaN
25,0.150546658946018,NaN,NaN,31.9895563651945
30,NaN,5.5765040070575,50.8475912615899,NaN
35,NaN,NaN,NaN,44.8003689575078
40,0.166787305768908,NaN,NaN,NaN
50,NaN,4.7994624997106,8.48171932743498,28.2570635346358
55,0.101526013683804,NaN,NaN,NaN
65,NaN,NaN,12.419057881375,NaN
70,0.0367224740833063,1.19364133167065,NaN,21.6689933866671
85,NaN,NaN,7.56366135582285,NaN
90,0.0507711908037638,1.55461068540162,NaN,68.8305285154596
100,0.0787813223880489,1.17230251621484,8.43562558130402,32.9327423269831
150,0.0653858644612097,1.75033984371086,4.99422212037807,NaN
200,0.121651303379368,1.29996872719117,7.8237948274289,NaN
250,0.0407403689919309,1.28664365395827,10.021332187278,NaN
300,NaN,0.949687842669521,6.51059323898018,NaN
350,NaN,NaN,5.13504470375326,NaN
