t,EpoRpJAK2_Obs,STAT5_Obs,npSTAT5_Obs,Compound_4_Obs,Compound_7_Obs
0,9.39372591230856e-05,86.6213626622138,0.0189724938305289,0.107572077305936,30.2471370272259
6,NaN,NaN,NaN,NaN,57.150298592249
10,0.0909492510209218,29.5130401104415,3.4589421264984,NaN,22.9734574107314
15,NaN,NaN,NaN,10.3236527514679,NaN
20,0.0255261531984044,NaN,3.59351362513478,NaN,90.9282693122756
25,NaN,27.4529571056276,NaN,12.9641782441731,26.6103302092207
35,0.127795915963002,54.9521293838066,6.12082298901361,NaN,29.1078232929101
40,NaN,NaN,NaN,13.2722003319815,43.5607783098219
45,0.0955719870794034,NaN,2.64721941278636,NaN,NaN
50,NaN,37.4238783501181,NaN,NaN,24.9123442105785
55,NaN,NaN,NaN,14.3493732192872,NaN
60,0.0732750236707512,NaN,1.49018342361317,NaN,NaN
65,NaN,28.0746936633261,NaN,NaN,22.0462204890845
70,NaN,NaN,NaN,3.94277651569852,NaN
75,0.0734303611770598,NaN,1.22886755019273,NaN,18.988596584948
80,NaN,28.9665641649809,NaN,NaN,NaN
90,NaN,NaN,2.66174663732577,3.03245609119177,59.0129508901556
95,0.0683891745353487,NaN,NaN,NaN,NaN
100,0.058061501370982,29.7505599639907,0.836599566380384,4.06827973926431,94.3061712522444
150,0.0657048310752066,25.1428332805902,0.580014104578967,6.44386704599942,NaN
200,NaN,44.5376963122817,0.760913633355548,3.55457728332989,NaN
250,NaN,48.4329178811304,NaN,0.985498615036661,NaN
300,NaN,NaN,NaN,3.5835574061984,NaN
