t,Compound_1_Obs,Compound_6_Obs
0,1.52971770144582,5.36529959798727
15,2.87821047946604,NaN
35,1.6845232578909,NaN
40,NaN,6.49742907056062
50,1.8266517778391,NaN
70,1.64493282885492,NaN
75,NaN,5.61772880787876
95,1.80613480147932,NaN
100,1.83703848714852,7.08340348069811
150,1.77177950442275,6.13048371925265
200,2.01834308337724,6.79570760567477
250,1.59097426533232,NaN
300,2.02814072496588,7.00930314981894
350,NaN,7.45682357459121
400,NaN,5.7640683711105
500,NaN,7.16084317685766
650,NaN,8.34639127619962
