t,EpoRpJAK2_Obs,STAT5_Obs,npSTAT5_Obs,Compound_4_Obs,Compound_7_Obs
0,0.000192864592753151,19.6914546207682,8.45114608199658e-05,0.185300562958204,37.582126910641
6,NaN,NaN,NaN,NaN,69.3768524991307
8.5,NaN,55.3769048531852,NaN,NaN,NaN
10,0.0853357398907306,NaN,NaN,NaN,87.2979785142935
15,NaN,NaN,0.0603373390124988,0.246607269209888,NaN
20,NaN,47.3988892814537,NaN,NaN,33.3231230444504
25,0.0678893090332147,45.6632756893916,NaN,NaN,34.9036928525244
35,NaN,49.9297110330349,0.0421727804033415,0.293805375761066,40.1495500363852
40,0.0293440589865799,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,52.0998385947232
50,NaN,44.5578489068173,0.0552403608183952,0.318156942769454,NaN
55,0.165435412062541,NaN,NaN,NaN,28.6540261827277
60,NaN,33.966069986803,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,41.6025471709419
70,0.0350908851688594,NaN,0.033075960631125,0.423765520253038,NaN
75,NaN,18.9994799094803,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,94.4496100214108
90,0.0273375958228247,39.6271395800451,0.0319452376375288,NaN,NaN
95,NaN,NaN,NaN,0.0843185745147793,NaN
100,0.0507462704415997,43.6900720649405,0.0206122831585422,0.237336677160268,56.8578223478939
150,0.0639335711697667,12.4619700030751,0.0239518530187462,0.134637996912982,NaN
200,0.0336000125435278,NaN,0.0125709198966233,0.140520103972182,NaN
250,NaN,NaN,0.0153034541129666,0.191230042141893,NaN
300,NaN,NaN,NaN,0.249763151380367,NaN
