t,epo_level,npSTAT5_Obs,Compound_4_Obs
8,2.5e-09,0.00737997457928477,0.562274683273885
8,2.5e-09,0.018491005583345,0.202209833372254
8,2.5e-09,0.0213108329958665,0.502630935425912
8,7.905e-09,0.0660996721476946,0.763043592738652
8,1.25e-08,0.142316359146395,0.665622821329025
8,1.75e-08,0.608028820650825,2.40316600837743
8,2.5e-08,0.24966717650138,1.93531284907145
8,3.95e-08,0.737636877305234,5.19183396767128
8,7.9e-08,0.928312014118206,4.1635802352533
8,7.9e-08,1.14717174718164,5.4714299512706
8,7.9e-08,1.67014607275853,8.37930453958895
8,1.25e-07,3.67516591924513,23.2109703761476
8,1.7675e-07,3.22900902112668,14.3435526194825
8,2.5e-07,4.05948545758666,51.1898253651493
8,7.905e-07,4.61461397243869,14.7285308409941
8,7.905e-07,5.37372638126825,21.6622835587718
8,7.905e-07,9.61934087536856,51.6963203659293
8,2.5e-06,11.5206667753722,46.3568947816156
