t,EpoRpJAK2_Obs,STAT5_Obs,npSTAT5_Obs,CISHnRNA2_Obs,CISHRNA_Obs,SOCS3RNA_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_6_Obs,Compound_7_Obs
0,0.000124770567152647,56.9123909638008,0.00807287790101571,0.000155329887744946,0.000237724999548319,0.0864167939762179,1.72266238713911,67.9344545221258,26.4763274941539,0.122493009113287,42.8704398594286,44.5469511660224
15,NaN,31.6740059583322,6.16221127099357,NaN,NaN,NaN,13.2442705397947,65.7885655454138,NaN,30.831756518181,NaN,30.5651164535411
20,0.0758615351643476,NaN,NaN,NaN,NaN,0.052472898322385,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,0.031162908272563,NaN,NaN,NaN,NaN,NaN,28.2647221593737,NaN,20.9308625964347
30,NaN,NaN,NaN,NaN,NaN,NaN,5.5749926661296,76.8088394654179,42.259426692715,NaN,83.2181091115989,NaN
35,NaN,31.068657434982,1.39793635624144,NaN,0.0409999952843554,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,0.0701400143139916,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.86073642451866,NaN,17.2363374807844
45,NaN,NaN,NaN,NaN,NaN,0.116330556610957,4.71512253900255,53.9922025189104,NaN,NaN,NaN,NaN
50,NaN,NaN,2.34279296127894,0.0179463596402481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,33.8377784231423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.09274912312,NaN,NaN
60,0.0587489426877445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.4627946902878,NaN,50.0123669033249,26.8324328490459
65,NaN,NaN,NaN,NaN,NaN,NaN,4.37660525897569,19.2608784062415,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,0.142947403938853,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,47.8983840731428,1.05853598941259,NaN,0.0613909895389629,NaN,NaN,NaN,NaN,8.81130771406372,NaN,45.5936960567168
80,NaN,NaN,NaN,0.0165935429909416,NaN,NaN,3.53127460129497,NaN,NaN,NaN,NaN,NaN
85,0.0612362068551224,NaN,NaN,NaN,NaN,NaN,NaN,37.1733985714619,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.783262636918,NaN,62.8309832410935,NaN
95,NaN,22.7720542325271,0.962614330888247,NaN,NaN,0.101707040047865,NaN,NaN,NaN,6.36185874126861,NaN,NaN
100,0.0570603817319258,52.3245600868272,0.699695559072494,0.00971810441322152,0.136982229007163,NaN,5.94972378473037,22.7788715931409,16.4874112735008,5.26605448260503,68.5733631312997,59.550591228378
150,0.165621249594553,12.8063445306448,0.881376608550207,0.00591035303527249,0.00840183956789661,0.145970095644171,5.24731979243094,24.7058641726081,17.0272453280722,3.40182246381623,43.5389929410603,33.7044443070291
200,0.095114365911774,49.5156693902629,NaN,0.00349403570967474,0.0175474089489747,0.0471528483215425,2.58889527769328,NaN,46.3082782487819,NaN,156.045758006713,42.3823122251441
250,NaN,63.4219159377901,NaN,NaN,NaN,NaN,4.51711982147259,NaN,56.0389540185897,NaN,36.5178961390537,41.8129395812755
300,NaN,46.6356603498633,NaN,NaN,0.0104501182778419,NaN,3.5588692721499,NaN,15.4386061399858,NaN,87.4878016236016,NaN
350,NaN,62.2644984454498,NaN,NaN,NaN,NaN,NaN,NaN,15.956575192122,NaN,61.3498241662729,NaN
450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.7744017399306,NaN,51.3717106604974,NaN
500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.5638430124285,NaN,NaN,NaN
550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.0200898718813,NaN
600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.7567882455232,NaN,NaN,NaN
