t,epo_level,EpoRpJAK2_Obs,Compound_7_Obs
48,2.5e-09,0.00373355134017837,25.1966201008419
48,2.5e-09,0.00472479320620534,27.6020727950958
48,2.5e-09,0.00795579578098769,31.9041342863932
48,2.5e-08,0.0159693132209395,43.9627402460348
48,2.5e-08,0.0338868836853893,48.4827881876132
48,2.5e-08,0.0381733449182255,32.3781141954898
48,1.25e-07,0.0493090833296964,47.9139851085384
48,1.25e-07,0.0731055604995331,46.827617675057
48,1.25e-07,0.0939262810126481,40.6900655434435
48,2.5e-07,0.127119934733192,45.7657484421138
48,2.5e-07,0.129740325726371,68.1274434199286
48,2.5e-07,0.214390241833795,65.0065559008292
48,1.25e-06,0.232188509921685,27.061074711118
48,1.25e-06,0.420365247471015,34.0099359195854
48,1.25e-06,0.592073159871293,88.2398856811048
48,2.5e-06,0.559579593597828,33.6864144930964
48,2.5e-06,1.0681084017066,71.7675747393086
48,2.5e-06,1.51933480468697,46.862844973661
