t,SOCS3RNA_Obs,Compound_1_Obs,Compound_6_Obs
0,0.0276212026036418,4.07431805472199,6.48752842793463
8.5,NaN,2.55296982386502,NaN
10,0.0216201848916909,NaN,NaN
15,NaN,0.98169163278084,4.77346771374309
20,0.0266534818739632,NaN,NaN
25,NaN,1.17082516544882,NaN
30,0.0280666547076826,NaN,NaN
35,NaN,3.35169225038476,6.01812218305169
40,0.0308022786477245,NaN,NaN
50,NaN,1.42043434697908,NaN
55,0.020122052692429,NaN,5.28787643423373
65,NaN,1.77214527161316,NaN
70,0.0147799867521382,NaN,NaN
75,NaN,NaN,13.6573118101907
80,NaN,2.13842836994218,NaN
85,0.025356129903224,NaN,NaN
100,0.00988562960700727,NaN,4.70021405963067
150,0.00635072570737922,NaN,3.83461381254082
200,NaN,NaN,6.10103050214249
250,NaN,NaN,7.62159463739427
300,NaN,NaN,8.48585960664274
