t,SOCS3RNA_Obs,Compound_1_Obs,Compound_6_Obs
0,0.0418080340856619,1.93958047969882,3.23892139317921
15,NaN,1.43592880285608,NaN
20,0.0064453320834446,NaN,NaN
25,NaN,NaN,5.98358391700642
30,NaN,1.69910301448991,NaN
35,0.0170201457746628,NaN,NaN
45,NaN,2.76295991464881,NaN
55,0.0102814449387207,NaN,13.7075789757928
65,NaN,1.8651082150052,NaN
80,0.0152747539302081,1.00109276695647,7.75512102740139
100,0.0152612976009188,2.12388907595853,5.91840033660786
150,0.0246342699153451,1.33926652319408,7.47428265641227
200,0.0302464898429007,1.71007286825825,4.63868134919649
250,0.0181539619986573,1.69561508097104,6.04948537760288
300,0.032899616414118,2.41543406693814,11.1487394575791
350,NaN,NaN,4.53697948203821
450,NaN,NaN,11.1848232060229
