t,epo_level,EpoRpJAK2_Obs,Compound_7_Obs
7,2.5e-09,0.00301998977345657,43.4139008563487
7,2.5e-09,0.00306582733566365,39.8279116848617
7,2.5e-09,0.00458717336509409,45.5387314606831
7,2.5e-08,0.0168745220684802,37.4065974438663
7,2.5e-08,0.025363348664735,22.9447778887842
7,2.5e-08,0.0383698458350829,41.7833961185561
7,2.5e-07,0.129609940297171,58.5431842155644
7,2.5e-07,0.198614933497917,25.0842490504577
7,2.5e-07,0.279426275745932,13.3704485393403
7,2.5e-06,0.572398466034289,18.3752223756088
7,2.5e-06,0.601746446379953,9.25387792147026
7,2.5e-06,0.806540571444279,12.5994341715704
7,2.5e-05,0.643652798649236,15.369334358584
7,2.5e-05,0.789189864696781,8.72516272058606
7,2.5e-05,3.06545094549732,11.7051187680126
