t,pEGFR_Obs,S6_Obs,pS6_Obs
0,-4805.66376699789,189.348707172653,1.84424375461268e-07
75,NaN,163.723035672674,NaN
150,195030.508912427,155.35088509069,NaN
250,NaN,152.511768984884,NaN
300,NaN,127.76755124211,NaN
350,173584.717593446,NaN,NaN
400,NaN,148.197529341071,NaN
450,NaN,NaN,3.55692887291536e-07
500,NaN,170.853845920591,NaN
550,107046.095560603,NaN,NaN
650,NaN,149.744028769624,NaN
750,70218.7396237961,NaN,NaN
800,NaN,109.700048549942,NaN
850,NaN,NaN,5.99327491386036e-07
950,NaN,149.357713696576,NaN
1000,53272.1012702377,148.376245510942,NaN
1500,24146.5925679072,NaN,1.58580887095449e-06
2000,NaN,NaN,1.70183199148212e-06
2500,NaN,NaN,1.42091427301926e-06
3000,NaN,NaN,1.20380832566648e-06
3500,NaN,NaN,1.35197340155335e-06
4500,NaN,NaN,8.64716811987455e-07
5000,NaN,NaN,9.21860832935418e-07
6000,NaN,NaN,3.68038152211639e-07
7500,NaN,NaN,2.65798511391299e-07
8500,NaN,NaN,4.71321892993621e-07
