t,pEGFR_Obs,S6_Obs,pS6_Obs
0,-1185038.59946854,73.9890470928628,-3.97899086957107e-07
30,2969914.54372285,NaN,NaN
60,5988788.6549209,NaN,NaN
95,6265475.63611592,NaN,NaN
100,NaN,103.679256097699,NaN
150,4206985.08610896,NaN,NaN
200,2210241.92370545,NaN,NaN
250,798817.023736439,143.820035623371,NaN
300,276519.915044084,NaN,NaN
400,541160.443342231,129.439379653298,2.20323915394556e-06
450,-636736.670931582,NaN,NaN
550,-541794.228394307,159.327926840873,NaN
700,NaN,159.05459143139,NaN
800,NaN,NaN,4.52100844528198e-06
900,NaN,167.888679812435,NaN
1000,NaN,98.6522428324034,4.48707788477633e-06
1500,NaN,136.257839296749,5.23949277719072e-06
2000,NaN,134.529254364754,4.96674521500173e-06
3000,NaN,NaN,4.09439944092844e-06
3500,NaN,NaN,2.91886525169539e-06
4000,NaN,NaN,3.46418648326374e-06
5000,NaN,NaN,1.24411059416343e-06
6000,NaN,NaN,4.09360799779522e-07
7500,NaN,NaN,1.27959162562311e-06
8500,NaN,NaN,-2.07196518794428e-07
