t,pEGFR_Obs,S6_Obs,pS6_Obs
0,-457016.68029085,112.810281450281,1.68116360191536e-08
40,7546734.92795107,NaN,NaN
80,8067132.69663499,NaN,NaN
100,6492554.94128222,167.164973174895,NaN
150,3569145.14956203,NaN,NaN
200,2426611.15903843,173.019615248031,NaN
300,-207460.642386628,169.040348785601,NaN
350,-540806.147386432,NaN,2.46765303890982e-06
450,382971.167338873,92.4983285537247,NaN
550,496974.596534675,138.634755120094,NaN
650,46858.9854627524,NaN,NaN
700,NaN,149.318152623904,NaN
750,NaN,NaN,3.8109462593484e-06
800,-427336.437551933,NaN,NaN
900,NaN,155.151017858547,NaN
1000,NaN,163.948508133528,4.33034759400195e-06
1500,NaN,145.550949429514,4.84569988238229e-06
2000,NaN,NaN,5.23325216565426e-06
2500,NaN,NaN,3.07243639827825e-06
3000,NaN,NaN,3.14167490753721e-06
3500,NaN,NaN,2.57288231573008e-06
4500,NaN,NaN,2.38145023229261e-06
5000,NaN,NaN,1.93035202112481e-06
6000,NaN,NaN,1.4492559367814e-06
7500,NaN,NaN,1.01272017497493e-06
8500,NaN,NaN,4.01089458082606e-07
