t,pEGFR_Obs,S6_Obs,pS6_Obs
0,49367.7632465177,164.268321479376,6.72643035916155e-07
75,NaN,95.2483696855127,NaN
100,1365632.71884382,NaN,NaN
150,NaN,150.769783100417,NaN
250,1326593.51014379,124.704670296552,NaN
350,NaN,145.657630220658,1.35833780246598e-07
400,712091.382747842,NaN,NaN
450,NaN,146.046153816949,NaN
550,423288.638524935,192.189162955486,NaN
700,NaN,121.583041911641,2.63249506080886e-06
750,121564.496665115,NaN,NaN
900,NaN,129.615814629432,NaN
950,52565.1562941756,NaN,NaN
1000,-85738.1906200613,130.720922810666,5.0421894226035e-06
1500,NaN,NaN,5.39835325709812e-06
2000,NaN,NaN,5.51076863965932e-06
2500,NaN,NaN,4.92266099798653e-06
3000,NaN,NaN,5.16489132704e-06
3500,NaN,NaN,3.84123838818213e-06
4500,NaN,NaN,1.95791152691432e-06
5000,NaN,NaN,2.73676764228642e-06
6000,NaN,NaN,1.40399894358637e-06
