t,pEGFR_Obs,S6_Obs,pS6_Obs
0,6470.79020382497,123.447248885278,3.03018028618355e-09
65,NaN,102.080682953377,NaN
150,NaN,170.975911003421,NaN
200,549516.842547376,88.0030951934141,NaN
300,NaN,154.599558438451,NaN
350,NaN,157.978436931552,NaN
400,380708.852871062,NaN,NaN
450,NaN,141.385623586019,8.39282810470328e-07
600,224764.555761817,158.19195496198,NaN
700,NaN,134.984941351863,NaN
800,135284.417702384,NaN,NaN
850,NaN,151.920091324936,NaN
900,NaN,NaN,2.47815767182045e-06
1000,56539.3292223085,110.702605156812,NaN
1500,100441.74901932,NaN,3.51039439234524e-06
2000,-13876.8520764737,NaN,3.49175177451486e-06
2500,2755.89820633519,NaN,3.47808542094578e-06
3000,8736.44929064246,NaN,2.64528174762102e-06
3500,-1708.2329385425,NaN,NaN
4000,NaN,NaN,1.40905871869079e-06
5000,NaN,NaN,1.35773086605624e-06
6000,NaN,NaN,1.17101026928249e-06
7000,NaN,NaN,5.68975702046578e-07
8500,NaN,NaN,-4.04867565685645e-07
