t,pEGFR_Obs,S6_Obs,pS6_Obs
0,32862.1944842234,127.342320885006,3.75205080466067e-07
60,2914455.2554779,NaN,NaN
65,NaN,106.397518584833,NaN
100,3651312.2659069,NaN,NaN
150,NaN,88.4440416927699,NaN
200,2684255.36463277,54.3996316761149,NaN
250,1909612.0078618,NaN,NaN
300,NaN,165.162117272872,NaN
350,1233007.9243267,183.5515141822,NaN
400,299239.226715293,NaN,NaN
450,NaN,179.051472950839,1.98637381607715e-06
500,-179155.803846727,NaN,NaN
600,NaN,160.301236215245,NaN
650,298296.612280901,NaN,NaN
700,NaN,163.316435956584,NaN
750,29675.156120281,NaN,NaN
850,NaN,119.044863964757,4.58418407006327e-06
900,236549.824459239,NaN,NaN
1000,56297.7507626135,152.24012070209,NaN
1500,NaN,NaN,6.54413538088288e-06
2000,NaN,NaN,5.47056569075079e-06
2500,NaN,NaN,4.64735608510936e-06
3000,NaN,NaN,3.24692769046627e-06
3500,NaN,NaN,4.42209260376904e-06
4500,NaN,NaN,2.68552109220326e-06
5000,NaN,NaN,1.59147759353282e-06
6000,NaN,NaN,1.55202173022607e-06
7500,NaN,NaN,7.17940397282703e-07
8500,NaN,NaN,4.18532228833356e-07
