t,K27me1K36me1_Obs,K27me3K36me2_Obs,Compound_1_Obs
0,0.0118842027337998,0.00188044095448018,0.886532494910861
3,NaN,NaN,0.938922315630586
3.5,0.0080112034730643,NaN,NaN
4.5,NaN,0.0017945134927322,NaN
6.5,NaN,NaN,1.08539007777615
7.5,0.00892409134048648,NaN,NaN
9,NaN,0.00208428593000677,NaN
10,0.00753362948158631,NaN,0.886621151185721
15,0.00770626915168272,0.00161215495865535,1.00831574301068
20,0.0108716406184684,0.00197573627475769,0.818202086319805
25,0.00861908576271032,NaN,1.04028394031807
30,NaN,0.00190508000688507,0.863744611799365
35,0.00957277694740158,0.00194990423041813,0.901929836634776
40,0.00815131037977475,NaN,0.808914062392097
50,0.00799678027475594,0.00190421920062658,0.824303908020557
60,0.00900723737885213,0.00201506309777091,0.873494575470004
