timepoint,Glu_Obs,cGlu_Obs,Ind_Obs
0,4.56708051180907,0.012298890273925,0.00604579458644416
300,50.544593663402,NaN,NaN
350,NaN,NaN,0.0282875592624959
450,NaN,0.748398638589483,NaN
650,1.14644254541816,NaN,NaN
700,NaN,NaN,0.067125382218
850,NaN,1.9619884941268,NaN
1000,1.16834038644022,NaN,0.717629033375344
1500,1.55099466648899,2.73906184938973,0.517878172916045
2000,5.44700685615707,0.431213583358002,0.969484153489264
2500,20.4759344876763,4.10847800791281,2.23628712862054
3000,NaN,12.3313548206648,0.575382215247477
3500,NaN,NaN,0.0447663827941313
4000,NaN,1.0804398582145,NaN
4500,NaN,3.71160868712009,0.0329605481037568
5500,NaN,0.13888928915539,0.333214239812195
6500,NaN,NaN,0.0626938466845859
7000,NaN,3.25330298802992,NaN
8500,NaN,1.01544336280433,NaN
