timepoint,Glu_Obs,cGlu_Obs,Ind_Obs
0,5.75859069497741,0.000524305602663882,0.00160990255013295
250,4.6328311594498,NaN,NaN
350,NaN,0.144279958203238,NaN
400,NaN,NaN,0.00308129872836406
550,30.7951928881368,NaN,NaN
750,NaN,25.2388938101387,0.303923278595613
800,5.62025584098386,NaN,NaN
1000,8.98000775454817,0.860507245348644,0.304465604437022
1500,11.8633420858385,9.23330076669147,12.1536545289612
2000,0.844555524753215,0.235628967016093,9.10211782481647
2500,1.41995420130181,15.7476694595828,1.77503779859553
3000,NaN,0.948408517341506,NaN
3500,0.034642446961209,NaN,0.0241588491953927
4000,0.138537115609587,5.45737993678142,0.533421694309459
4500,0.0143996838761948,NaN,NaN
5000,NaN,0.00589717675404553,0.203541047070135
6000,NaN,0.140618067117106,0.0109487754235347
7000,NaN,0.610272581084544,0.10379094282295
