timepoint,Glu_Obs,cGlu_Obs,Ind_Obs
0,1.83081463394202,1.06627391263921e-05,0.000321114575812249
150,5.26724627815668,NaN,NaN
350,84.2824376071035,NaN,NaN
400,NaN,NaN,0.0363534110821633
450,NaN,0.655422047864547,NaN
500,4.52141591765731,NaN,NaN
700,22.0916373505148,NaN,NaN
800,NaN,NaN,1.10770595376007
900,8.42736912195545,0.403795092891512,NaN
1000,28.7553313840327,NaN,NaN
1500,4.23755673708989,0.111296848342418,10.7904139004568
2000,0.705040986528722,1.4636867389096,NaN
2500,0.311101151986005,8.96736364274158,0.638581836995397
3000,0.635412465506626,3.54495289993112,3.48381217629158
3500,0.274984065858463,NaN,2.49377646923532
4000,NaN,1.04344367631826,NaN
4500,NaN,NaN,0.346494751418156
5000,NaN,0.734856190492088,NaN
5500,NaN,NaN,0.0640906294094311
6000,NaN,0.0106648007786227,NaN
6500,NaN,NaN,0.0360828893201477
7000,NaN,0.0202758943483644,NaN
8500,NaN,0.272515813154153,NaN
