timepoint,Glu_Obs,cGlu_Obs,Ind_Obs
0,20.2249381357329,0.000806206470496956,0.00180806035469406
400,89.2400083389216,NaN,0.00732414824008501
450,NaN,0.233355157180569,NaN
800,NaN,NaN,0.00652908115533653
850,8.16010938198018,NaN,NaN
900,NaN,0.154886337089793,NaN
1000,NaN,NaN,0.0354017331560913
1500,22.9658625081766,4.59944264116997,0.148166682094534
2000,8.12502327718853,0.347512338928132,2.67378509609325
2500,3.72125460630801,0.121581696215065,NaN
3000,40.3307609183609,10.9677226153063,1.50386966964001
3500,0.423435643210831,NaN,1.88313225482003
4000,NaN,4.23271808674599,0.137777333354905
4500,0.0248860185852411,NaN,NaN
5000,NaN,0.841664601595061,0.030394252952082
5500,0.103362012402499,NaN,NaN
6000,NaN,0.101495224377047,0.0583308532154993
7000,0.0106005744618241,0.114478234508436,NaN
7500,NaN,NaN,0.0188436038001805
8000,0.00298236934720047,NaN,NaN
8500,NaN,0.0796735197623857,NaN
