timepoint,Glu_Obs,cGlu_Obs,Ind_Obs
0,6.3721229563723,0.00788220967209448,1.06042401601409e-05
35,1.42070041139582e-68,NaN,NaN
75,NaN,NaN,NaN
100,9.60650691127169e-81,NaN,NaN
150,2.18089177861413e-77,NaN,NaN
200,NaN,NaN,NaN
250,NaN,NaN,NaN
300,NaN,5.57726737279518,NaN
350,3.65233881535373e-63,NaN,NaN
400,1.22494077259438e-61,NaN,0.00626958708580973
600,NaN,41.3450183529923,NaN
800,NaN,NaN,0.0114944717376821
950,NaN,46.6536681085156,NaN
1000,NaN,NaN,0.0187203114676761
1500,NaN,1.6455406759942,0.00885298114202465
2000,NaN,173.843620737046,0.00280900973818894
2500,NaN,13.5909216018729,NaN
3000,NaN,9.3975737597537,0.00287465255266744
3500,NaN,9.94614314014462,0.00472185915304035
4000,NaN,NaN,0.00598696423443114
4500,NaN,1.22525503078793,NaN
5000,NaN,0.678731480514712,0.000645816298931056
6000,NaN,3.22015946325521,NaN
6500,NaN,NaN,0.0127478028684749
7000,NaN,4.28098372795306,NaN
