timepoint,Glu_Obs,cGlu_Obs,Ind_Obs
0,0.438591908673731,0.00131632987685399,0.00479720957734994
250,13.680116276993,NaN,NaN
350,NaN,0.140649696669008,0.000254235834695221
500,33.2425479206266,NaN,NaN
650,NaN,NaN,0.112174495679679
700,NaN,0.207478043876061,NaN
750,43.752083824697,NaN,NaN
1000,20.1180764723301,0.0913360402082674,0.25115369811958
1500,1.95441833908958,0.826049355076989,0.152433730274052
2000,11.8456663496228,0.982131054571753,0.916652432885356
2500,2.04626339350444,1.36987536660514,1.30104921521484
3000,3.03357878937553,0.109965998253095,0.751140518076937
3500,5.9319963122699,0.227121983225307,0.605935470518973
4000,1.04898936288762,3.78317144383476,0.584258259618535
5000,0.229049068351762,0.501587260393383,0.61168695858345
5500,NaN,2.56894243104502,NaN
6000,NaN,NaN,0.0491918798322016
6500,NaN,0.356557018819291,NaN
