timepoint,Glu_Obs,cGlu_Obs,Ind_Obs
0,15.5580864151284,0.00624823274366919,2.14600635240164e-06
40,NaN,NaN,NaN
80,NaN,NaN,NaN
100,5.71351686903621e-88,NaN,NaN
150,4.64807161387452e-83,NaN,NaN
200,8.37969072371055e-78,NaN,NaN
300,NaN,23.2855081204658,NaN
350,NaN,NaN,NaN
400,NaN,NaN,0.0090141275867795
450,NaN,NaN,NaN
600,NaN,2.54490934797813,NaN
800,NaN,NaN,0.000236651183986035
950,NaN,28.9686307716725,NaN
1000,NaN,NaN,0.00256519649736933
1500,NaN,3.87072212229369,0.00828878712746321
2000,NaN,43.70425796098,0.000140846587006831
2500,NaN,172.535949030414,NaN
3000,NaN,0.80295794977229,0.00190710762660261
3500,NaN,26.5328747451258,0.000837197306073094
4000,NaN,NaN,0.0122841969851443
4500,NaN,27.4134082424138,NaN
5000,NaN,72.3301566842373,0.00461604959761853
6000,NaN,1.00016343071147,0.00211268080883194
7000,NaN,NaN,0.0385663357500594
7500,NaN,1.17086423555492,NaN
