timepoint,Glu_Obs,cGlu_Obs,Ind_Obs
0,13.7521773331514,0.0143864451173991,9.37249394420303e-05
45,NaN,NaN,NaN
90,2.33061164249795e-81,NaN,NaN
150,NaN,NaN,NaN
200,NaN,NaN,NaN
250,NaN,NaN,NaN
300,NaN,14.1357481895702,NaN
350,NaN,NaN,0.000745940425676569
450,2.14347926137671e-64,NaN,NaN
600,NaN,38.5433306672189,NaN
650,NaN,NaN,0.0107908345932415
900,NaN,28.4942373135527,NaN
1000,NaN,NaN,0.0122592435398931
1500,NaN,21.1059143420473,0.00399156643777645
2000,NaN,7.14514635613606,0.0024680105005749
2500,NaN,31.2320303079786,0.0346368314805903
3000,NaN,10.5214299928055,0.00507627125440945
3500,NaN,14.0429292670867,NaN
4000,NaN,NaN,0.000218809807356406
4500,NaN,6.26318634695141,0.00388238043240692
5500,NaN,0.348355278869389,0.00158752157146956
6500,NaN,5.6707973126424,0.00559959660092392
