timepoint,Glu_Obs,cGlu_Obs,Ind_Obs
0,9.38471157387522,0.000534033343444193,0.000236975449444545
300,3.87526058196431,NaN,NaN
400,NaN,0.190313942970402,0.0113356476801124
600,58.9145599976148,NaN,NaN
800,NaN,NaN,0.0238671603386094
850,NaN,0.257595520471162,NaN
900,2.69980497351918,NaN,NaN
1000,NaN,NaN,0.00270500818401657
1500,0.92882486666893,7.35772721403087,0.113112029136734
2000,31.3488211000733,11.8793070220512,6.59542656053267
2500,6.32494983951186,NaN,0.408398189779987
3000,0.21348778133212,2.71742386738025,NaN
3500,NaN,17.2646282543709,3.1287021617295
4000,13.8528257011939,0.580417757860372,2.27149392187263
4500,3.87108875141745,NaN,NaN
5000,NaN,13.1494971745389,0.502958084233731
5500,0.33259358868298,NaN,NaN
6000,NaN,0.327129655893806,1.1345252470498
7000,NaN,0.0112717891207776,0.131440015618931
8500,NaN,0.125924197416723,0.000673285705279241
