timepoint,Glu_Obs,cGlu_Obs,Ind_Obs
0,2.05600479956814,0.218349853020665,0.000601166977776094
150,88.1643720143362,NaN,NaN
300,17.3478444941175,NaN,NaN
400,NaN,0.171928805184922,NaN
450,NaN,NaN,0.00569825482504611
500,1.59852157950498,NaN,NaN
650,4.42509908084274,NaN,NaN
800,NaN,0.804224124512235,NaN
850,0.113710165432131,NaN,NaN
950,NaN,NaN,0.00278299278589731
1000,1.39848446134043,19.5659618684622,NaN
1500,3.69157967989249,2.20177477307293,0.107475721504441
2000,0.514123337600903,1.69630083861802,0.0104592486203389
2500,0.0354708622304716,NaN,0.379493508875224
3000,0.0763795982285781,9.75997574752626,NaN
3500,NaN,3.72526333495301,0.620877792938979
4000,NaN,14.279581827002,NaN
4500,NaN,NaN,0.289488400839542
5000,NaN,5.07624379966558,NaN
5500,NaN,NaN,0.186020303972593
6000,NaN,41.2597172675301,NaN
7000,NaN,13.694891160327,0.021507590582447
8500,NaN,0.0317404411475632,0.0363838390701059
