timepoint,Glu_Obs,cGlu_Obs,Ind_Obs
0,11.2778583315025,0.000625818725284578,0.000320230405619696
150,4.91112637543428,NaN,NaN
300,5.87481639283348,NaN,NaN
350,NaN,0.422105043540785,0.00670664734130054
450,8.04294131928132,NaN,NaN
650,61.6417581118933,NaN,NaN
750,NaN,10.3484311319721,0.152382726560734
850,8.09177449082673,NaN,NaN
1000,5.57800513687731,3.82812992533522,0.172518186616766
1500,19.8322506777001,4.4261620957915,1.79651840728666
2000,NaN,9.12013414692493,6.7822370825687
2500,NaN,17.9769204844837,0.669389073699975
3000,NaN,3.63463368861604,0.798320050344405
3500,NaN,NaN,0.107429312610802
4000,NaN,0.386677091802659,NaN
4500,NaN,3.7029509144255,0.174400722690156
5500,NaN,1.3670167180034,0.0303437946516156
6500,NaN,11.901016936885,0.0175772339066491
7500,NaN,NaN,0.0394692131806117
8000,NaN,0.822745405405133,NaN
