timepoint,Glu_Obs,cGlu_Obs,Ind_Obs
0,27.2932397580216,0.0268963442349484,1.44622746017988e-05
40,NaN,NaN,NaN
80,NaN,NaN,NaN
150,1.48831723401559e-80,NaN,NaN
200,9.54033359606851e-79,NaN,NaN
250,1.97612053234611e-76,NaN,NaN
300,NaN,0.679801496044098,NaN
350,NaN,NaN,NaN
400,NaN,NaN,0.00173898889717019
450,2.51443835132457e-68,NaN,NaN
600,NaN,31.8556633044593,NaN
800,NaN,NaN,0.0440451539887325
900,NaN,2.45352754069814,NaN
1000,NaN,3.1641330625432,NaN
1500,NaN,108.79065342255,0.000900279043810509
2000,NaN,2.36256945199076,0.00447049513442165
2500,NaN,1.2356955396788,NaN
3000,NaN,1.17808941561931,0.000225989164450322
3500,NaN,6.34142552478479,0.0531774540800601
4000,NaN,33.8897305923332,NaN
4500,NaN,NaN,0.00345641805220645
5000,NaN,13.317505377387,0.000434840700808868
5500,NaN,3.32896802742877,NaN
6000,NaN,NaN,0.00289531859832142
6500,NaN,7.16075321761121,NaN
7500,NaN,NaN,0.00765926971743363
