timepoint,Glu_Obs,cGlu_Obs,Ind_Obs
0,6.79111344856485,0.0243408199911955,0.000532855200494571
150,9.883245460839,NaN,NaN
300,22.6058168054677,NaN,NaN
400,NaN,2.84324073717461,0.0015394632362048
450,9.866627303117,NaN,NaN
650,5.575593600252,NaN,NaN
800,NaN,16.8835158869123,0.161702764226256
850,23.3820770258402,NaN,NaN
1000,0.987674322466433,21.4552190277331,NaN
1500,16.5129741013761,1.60220070948639,1.45115705790569
2000,0.880764761342656,20.129639397154,NaN
2500,0.18137312872176,5.47111722939544,0.308791305800544
3000,0.0995700856915337,NaN,0.735913992244982
3500,NaN,5.87603326762701,3.14920705381691
4000,NaN,1.78770363568213,NaN
4500,NaN,NaN,0.514901415189866
5000,NaN,7.11352064101114,NaN
5500,NaN,2.79198355659061,0.212707086108667
6500,NaN,NaN,0.267409028549203
7000,NaN,0.108074261658675,NaN
8000,NaN,5.40334969566847,0.110101048562057
