timepoint,Glu_Obs,cGlu_Obs,Ind_Obs
0,1.34192206695872,0.01484157696764,0.000343338435224881
100,4.77331488206796,NaN,NaN
200,3.79172944956049,NaN,NaN
350,6.95365583298532,NaN,NaN
400,NaN,0.34684619139254,0.0231745003723369
450,17.4366180835633,NaN,NaN
600,4.74730346034151,NaN,NaN
750,2.14642719706857,2.73732303033757,NaN
800,NaN,NaN,1.68139064467809
950,17.1989403207707,NaN,NaN
1000,13.0538478449427,3.43914807758922,0.538333939228756
1500,3.31098283290356,35.5904290516212,2.35074680876098
2000,0.363245066453294,26.5035724657499,0.481818433506289
2500,0.0201775316768812,26.8118597547103,10.5122481319105
3000,NaN,0.12765927122694,NaN
3500,NaN,NaN,0.338579211067906
4000,NaN,4.59053494530021,4.23298673081755
4500,NaN,0.137087446204821,NaN
5000,NaN,NaN,0.00979795586472023
5500,NaN,0.572748027031617,NaN
6000,NaN,NaN,0.0307323180333952
7000,NaN,0.375717505477696,NaN
7500,NaN,NaN,0.128835603014547
8000,NaN,0.0535736806482855,NaN
