timepoint,Glu_Obs,cGlu_Obs,Ind_Obs
0,12.5307363911333,0.00724339410515255,0.000210683931706968
150,4.50594274905265,NaN,NaN
300,0.494144263680151,NaN,NaN
350,NaN,NaN,0.00649459628625543
450,NaN,1.96648365279627,NaN
500,6.90145556174882,NaN,NaN
700,0.983418595242155,NaN,0.00548976215627927
900,NaN,0.51540644533393,NaN
950,0.809136369150866,NaN,NaN
1000,67.9394000333959,NaN,0.0314613578657042
1500,14.28600548577,1.9382447773209,0.390895364874463
2000,NaN,8.93932726346443,2.80081546052793
2500,NaN,9.81140902774884,1.5284685351788
3000,NaN,13.6541956648671,1.26741550807085
3500,NaN,NaN,5.82380264327009
4000,NaN,3.8045976659114,NaN
4500,NaN,3.58838531391461,0.822983732526449
5500,NaN,NaN,0.230483669603988
6000,NaN,9.55042029414752,NaN
6500,NaN,NaN,0.197497911057441
7000,NaN,5.1361454949495,NaN
8500,NaN,1.19603275015793,NaN
