timepoint,Glu_Obs,cGlu_Obs,Ind_Obs
0,0.972440567246416,0.00141717448456882,0.00131605444501037
300,NaN,0.118184608060623,0.00618532305618412
450,0.519743782106971,NaN,NaN
600,NaN,0.733099927111283,0.00611816884832689
900,17.6672048666591,0.0415315215836155,0.0832345040710302
1500,24.3291473314298,0.615213873721535,0.280922936211348
2000,10.5695456640602,1.90736172270013,1.16614660520783
2500,0.700436302994809,1.94635103717068,3.52332436683352
3000,1.2176761231112,0.485606770967805,0.0497009693279741
3500,NaN,1.68918357297094,NaN
4000,5.26200290765391,NaN,0.0270940934328963
4500,NaN,0.399804696485198,0.303692504681928
5000,2.1175328649455,NaN,NaN
5500,NaN,2.3550696441838,0.0785682672992116
6000,0.0486875039341557,NaN,NaN
6500,NaN,1.72918696810199,NaN
7000,0.392834102390634,NaN,NaN
8500,0.00275563186036273,NaN,NaN
